,player,class,season,pos,school_name,conf_abbr,g,mp,fg,fga,fg2,fg2a,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,obpm,dbpm,bpm,ts_pct,efg_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,off_rtg,def_rtg,ows,dws,ws,pprod,year_drafted,round,pick_overall,allStar,pts_pg,fg_p,fg2_p,fg3_p,ft_p,trb_p,ast_p,stl_p,blk_p
36,Zion Williamson,FR,2018-19,F,Duke,ACC,33.0,990.0,296,435,272,364,24,71,130,203,116.0,177.0,293,68,70,59,78.0,68.0,746,40.8,12.8,7.2,20.0,0.7020000000000001,0.708,12.7,18.0,15.5,14.9,3.9,5.8,12.8,28.6,133.1,87.4,5.5,2.8,8.3,663.0,2019,1,1,0,22.606060606060606,0.6804597701149425,0.7472527472527473,0.33802816900932353,0.6403940886667961,8.878787878787879,2.0606060606060606,2.121212121212121,1.7878787878787878
415,Linas Kleiza,SO,2004-05,F,Missouri,Big 12,33.0,1038.0,165,409,134,296,31,113,169,231,71.0,179.0,250,53,20,9,89.0,92.0,530,21.2,4.1,2.9,7.4,0.511,0.441,6.0,14.8,14.1,13.3,1.9,0.7,14.6,30.3,114.1,97.9,1.5,1.5,3.0,425.0,2005,1,27,0,16.060606060606062,0.4034229828850856,0.4527027027027027,0.27433628318341297,0.7316017315985646,7.575757575757576,1.606060606060606,0.6060606060606061,0.2727272727272727
252,Denzel Valentine,SR,2015-16,G,Michigan State,Big Ten,31.0,1022.0,205,444,101,210,104,234,81,95,25.0,208.0,233,241,32,7,85.0,52.0,595,29.7,12.2,4.4,16.5,0.608,0.579,3.0,21.2,12.8,45.8,1.9,0.7,14.8,28.4,127.2,94.0,5.0,2.2,7.3,622.0,2016,1,14,0,19.193548387096776,0.4617117117117117,0.48095238095238096,0.4444444444425451,0.8526315789383934,7.516129032258065,7.774193548387097,1.032258064516129,0.22580645161290322
834,Darius Miller,JR,2010-11,G,Kentucky,SEC,38.0,1178.0,149,312,91,181,58,131,58,68,51.0,122.0,173,66,32,43,57.0,100.0,414,18.4,5.3,3.9,9.2,0.601,0.5710000000000001,5.1,11.2,8.3,10.6,1.6,3.6,14.2,17.5,119.9,98.0,3.0,1.9,4.9,397.0,2012,2,46,0,10.894736842105264,0.4775641025641026,0.5027624309392266,0.4427480915996737,0.8529411764580449,4.552631578947368,1.736842105263158,0.8421052631578947,1.131578947368421
1411,Kris Dunn,FR,2012-13,G,Providence,Big East,25.0,680.0,49,123,45,109,4,14,40,58,41.0,79.0,120,79,29,7,47.0,77.0,142,12.4,0.4,3.8,4.2,0.472,0.415,6.6,14.8,10.4,22.8,2.6,1.1,23.8,14.7,98.4,98.1,0.5,1.0,1.5,175.0,2016,1,5,0,5.68,0.3983739837398374,0.41284403669724773,0.2857142856938775,0.6896551724019025,4.8,3.16,1.16,0.28
680,Alec Brown,SR,2013-14,F,Green Bay,Horizon,30.0,909.0,165,347,123,247,42,100,88,121,63.0,108.0,171,30,15,94,65.0,67.0,460,22.7,1.0,3.7,4.6,0.569,0.536,8.5,12.8,10.8,7.0,1.0,10.9,13.8,26.2,110.2,95.1,1.9,2.0,3.9,412.0,2014,2,50,0,15.333333333333334,0.4755043227665706,0.4979757085020243,0.4199999999958,0.7272727272667168,5.7,1.0,0.5,3.1333333333333333
1015,Vernon Macklin,JR,2009-10,F,Florida,SEC,34.0,859.0,156,257,156,257,0,0,47,80,91.0,97.0,188,26,20,29,46.0,81.0,359,22.2,4.1,2.9,7.4,0.608,0.607,11.9,12.9,12.4,6.5,1.4,3.5,13.5,19.9,119.0,100.5,2.4,1.2,3.6,331.0,2011,2,52,0,10.558823529411764,0.6070038910505836,0.6070038910505836,0.0,0.5874999999926562,5.529411764705882,0.7647058823529411,0.5882352941176471,0.8529411764705882
1122,Evan Turner,FR,2007-08,G,Ohio State,Big Ten,37.0,1004.0,109,232,86,163,23,69,72,103,33.0,131.0,164,98,47,19,99.0,90.0,313,21.2,4.1,2.9,7.4,0.557,0.519,6.0,14.8,11.0,12.7,1.9,1.8,26.1,22.9,114.1,97.9,1.6,2.2,3.8,425.0,2010,1,2,0,8.45945945945946,0.4698275862068966,0.5276073619631901,0.3333333333285024,0.6990291262068055,4.4324324324324325,2.6486486486486487,1.2702702702702702,0.5135135135135135
1152,Jeremy Evans,JR,2008-09,F,Western Kentucky,Sun Belt,34.0,861.0,123,194,123,193,0,1,52,72,81.0,114.0,195,11,21,68,33.0,81.0,298,21.2,4.1,2.9,7.4,0.653,0.634,6.0,14.8,13.2,2.6,1.9,6.4,12.6,15.3,114.1,97.9,2.4,2.7,5.2,425.0,2010,2,55,0,8.764705882352942,0.634020618556701,0.6373056994818653,0.0,0.7222222222121913,5.735294117647059,0.3235294117647059,0.6176470588235294,2.0
1254,Davon Reed,SO,2014-15,G,Miami (FL),ACC,30.0,824.0,77,164,40,83,37,81,56,77,25.0,96.0,121,57,27,13,32.0,68.0,247,17.4,4.6,3.5,8.1,0.616,0.5820000000000001,3.7,13.5,8.7,14.6,2.1,1.7,13.8,15.7,122.3,100.0,2.0,1.2,3.2,243.0,2017,2,32,0,8.233333333333333,0.4695121951219512,0.4819277108433735,0.4567901234511507,0.7272727272632822,4.033333333333333,1.9,0.9,0.43333333333333335
1038,Bobby Jones,SO,2003-04,F,Washington,Pac-10,31.0,760.0,130,228,129,220,1,8,87,131,60.0,93.0,153,25,37,17,34.0,117.0,348,21.2,4.1,2.9,7.4,0.6,0.5720000000000001,6.0,14.8,11.4,6.1,1.9,1.5,10.5,19.3,114.1,97.9,1.9,1.0,3.0,425.0,2006,2,37,0,11.225806451612904,0.5701754385964912,0.5863636363636363,0.124999999984375,0.6641221373995105,4.935483870967742,0.8064516129032258,1.1935483870967742,0.5483870967741935
749,Jake Layman,JR,2014-15,F,Maryland,Big Ten,35.0,1053.0,143,304,98,185,45,119,106,141,45.0,158.0,203,49,28,26,67.0,75.0,437,20.1,3.9,3.0,6.9,0.589,0.544,5.6,16.2,11.4,11.1,1.6,2.7,15.3,22.7,112.9,97.0,2.5,1.9,4.4,416.0,2016,2,47,0,12.485714285714286,0.47039473684210525,0.5297297297297298,0.37815126050102393,0.7517730496400584,5.8,1.4,0.8,0.7428571428571429
99,Josh Hart,SR,2016-17,G,Villanova,Big East,36.0,1193.0,236,463,162,280,74,183,127,170,51.0,179.0,230,106,56,10,71.0,81.0,673,28.2,8.2,4.0,12.1,0.619,0.59,5.8,17.6,12.2,18.8,2.9,1.0,11.5,27.8,125.1,94.5,5.1,2.6,7.7,648.0,2017,1,30,0,18.694444444444443,0.509719222462203,0.5785714285714286,0.4043715846972439,0.7470588235250174,6.388888888888889,2.9444444444444446,1.5555555555555556,0.2777777777777778
1176,Dante Cunningham,SO,2006-07,F,Villanova,Big East,33.0,902.0,99,193,98,192,1,1,88,113,86.0,91.0,177,24,42,20,56.0,96.0,287,21.2,4.1,2.9,7.4,0.5820000000000001,0.516,6.0,14.8,11.5,5.6,1.9,1.7,18.5,16.8,114.1,97.9,1.6,2.3,3.9,425.0,2009,2,33,0,8.696969696969697,0.5129533678756477,0.5104166666666666,0.9999999989999999,0.7787610619400109,5.363636363636363,0.7272727272727273,1.2727272727272727,0.6060606060606061
1501,Michael Carter-Williams,FR,2011-12,G,Syracuse,Big East,26.0,269.0,25,58,18,40,7,18,13,23,9.0,29.0,38,54,20,7,16.0,25.0,70,20.8,4.0,4.2,8.2,0.508,0.491,3.9,12.7,8.3,34.3,4.6,2.9,18.8,16.3,114.8,91.0,0.6,0.6,1.2,92.0,2013,1,11,0,2.6923076923076925,0.43103448275862066,0.45,0.38888888886728395,0.5652173912797731,1.4615384615384615,2.076923076923077,0.7692307692307693,0.2692307692307692
1149,Anthony Brown,SO,2011-12,G,Stanford,Pac-12,37.0,886.0,106,268,64,148,42,120,45,72,32.0,117.0,149,38,23,4,49.0,65.0,299,12.8,0.6,1.9,2.5,0.495,0.474,4.2,17.5,10.4,8.5,1.5,0.5,14.0,19.9,100.7,94.7,0.9,1.6,2.6,280.0,2015,2,34,0,8.08108108108108,0.39552238805970147,0.43243243243243246,0.3499999999970833,0.6249999999913194,4.027027027027027,1.027027027027027,0.6216216216216216,0.10810810810810811
430,Earl Clark,JR,2008-09,F,Louisville,Big East,37.0,1269.0,202,442,171,347,31,95,90,139,102.0,220.0,322,119,38,51,119.0,71.0,525,21.2,4.1,2.9,7.4,0.517,0.4920000000000001,6.0,14.8,11.0,12.7,1.9,1.8,19.0,22.9,114.1,97.9,1.6,4.2,5.8,425.0,2009,1,14,0,14.18918918918919,0.45701357466063347,0.49279538904899134,0.3263157894702493,0.6474820143838311,8.702702702702704,3.2162162162162162,1.027027027027027,1.3783783783783783
1521,Russ Smith,FR,2010-11,G,Louisville,Big East,17.0,96.0,14,41,7,24,7,17,3,5,1.0,6.0,7,14,13,1,13.0,17.0,38,13.3,-1.5,4.8,3.3,0.438,0.4270000000000001,1.2,6.9,4.1,28.0,8.0,1.1,23.1,29.3,84.1,86.1,-0.1,0.3,0.2,39.0,2014,2,47,0,2.235294117647059,0.34146341463414637,0.2916666666666667,0.41176470585813146,0.59999999988,0.4117647058823529,0.8235294117647058,0.7647058823529411,0.058823529411764705
642,Malcolm Brogdon,SO,2013-14,G,Virginia,ACC,37.0,1163.0,150,363,106,244,44,119,126,144,33.0,168.0,201,101,44,5,53.0,71.0,470,20.8,5.1,5.0,10.1,0.545,0.474,3.6,17.3,10.7,19.4,2.5,0.5,10.9,23.5,117.0,91.1,3.1,3.0,6.0,460.0,2016,2,36,0,12.702702702702704,0.4132231404958678,0.4344262295081967,0.3697478991565567,0.8749999999939236,5.4324324324324325,2.72972972972973,1.1891891891891893,0.13513513513513514
943,Josh Richardson,JR,2013-14,G,Tennessee,SEC,37.0,1124.0,139,293,105,193,34,100,69,87,29.0,77.0,106,56,27,30,37.0,79.0,381,16.3,4.1,2.9,7.0,0.57,0.532,3.1,8.0,5.5,10.0,1.5,2.8,10.0,17.3,122.2,101.5,2.6,1.8,4.4,348.0,2015,2,40,0,10.297297297297296,0.47440273037542663,0.5440414507772021,0.33999999999659997,0.793103448266746,2.864864864864865,1.5135135135135136,0.7297297297297297,0.8108108108108109
1261,Jermareo Davidson,SO,2004-05,F,Alabama,SEC,32.0,829.0,90,156,90,156,0,0,63,96,71.0,181.0,252,30,11,47,39.0,78.0,243,21.2,4.1,2.9,7.4,0.603,0.5770000000000001,6.0,14.8,18.0,6.9,1.9,3.9,16.2,15.3,114.1,97.9,1.6,1.9,3.5,425.0,2007,2,36,0,7.59375,0.5769230769230769,0.5769230769230769,0.0,0.656249999993164,7.875,0.9375,0.34375,1.46875
464,Ronny Turiaf,SO,2002-03,F,Gonzaga,WCC,33.0,814.0,151,291,150,285,1,6,212,279,77.0,129.0,206,19,20,49,64.0,102.0,515,21.2,4.1,2.9,7.4,0.608,0.521,6.0,14.8,14.9,5.1,1.9,4.3,13.1,29.8,114.1,97.9,3.2,2.2,5.4,425.0,2005,2,37,0,15.606060606060606,0.5189003436426117,0.5263157894736842,0.16666666663888888,0.7598566308216493,6.242424242424242,0.5757575757575758,0.6060606060606061,1.4848484848484849
571,Alize Johnson,JR,2016-17,F,Missouri State,MVC,33.0,997.0,169,346,129,243,40,103,109,161,110.0,241.0,351,63,20,6,76.0,83.0,487,24.7,4.2,0.3,4.5,0.5760000000000001,0.546,13.1,29.5,21.2,13.9,1.2,0.7,15.2,25.8,116.3,100.9,3.1,1.6,4.6,495.0,2018,2,50,0,14.757575757575758,0.4884393063583815,0.5308641975308642,0.3883495145593364,0.6770186335361676,10.636363636363637,1.9090909090909092,0.6060606060606061,0.18181818181818182
1063,Jordan Hamilton,FR,2009-10,G,Texas,Big 12,34.0,676.0,123,300,65,141,58,159,37,64,34.0,92.0,126,50,27,12,47.0,43.0,341,19.4,4.1,2.9,7.4,0.516,0.507,5.3,13.8,9.7,13.5,2.2,1.6,12.5,25.3,108.6,95.7,1.5,1.2,2.7,316.0,2011,1,26,0,10.029411764705882,0.41,0.46099290780141844,0.3647798742115423,0.5781249999909668,3.7058823529411766,1.4705882352941178,0.7941176470588235,0.35294117647058826
493,Daniel Ewing,SR,2004-05,G,Duke,ACC,33.0,1138.0,181,424,112,225,69,199,74,107,23.0,81.0,104,132,65,13,98.0,99.0,505,21.2,4.1,2.9,7.4,0.532,0.508,6.0,14.8,11.0,12.7,1.9,1.8,17.1,22.9,114.1,97.9,1.9,2.3,4.1,425.0,2005,2,32,0,15.303030303030303,0.4268867924528302,0.49777777777777776,0.34673366833996616,0.6915887850402656,3.1515151515151514,4.0,1.9696969696969697,0.3939393939393939
574,Ronnie Brewer,SO,2004-05,G,Arkansas,SEC,30.0,955.0,171,360,135,269,36,91,108,165,52.0,93.0,145,101,76,14,61.0,60.0,486,21.2,4.1,2.9,7.4,0.5539999999999999,0.525,6.0,14.8,9.1,22.9,1.9,1.1,12.2,26.0,114.1,97.9,2.4,2.6,5.0,425.0,2006,1,14,0,16.2,0.475,0.5018587360594795,0.3956043956000483,0.6545454545414876,4.833333333333333,3.3666666666666667,2.533333333333333,0.4666666666666667
172,Isaiah Canaan,JR,2011-12,G,Murray State,OVC,33.0,1112.0,187,400,89,185,98,215,154,184,27.0,87.0,114,120,45,2,89.0,56.0,626,26.5,8.0,-0.3,7.8,0.642,0.59,3.1,10.0,6.6,24.4,2.5,0.2,15.4,27.0,125.7,95.5,5.2,2.0,7.2,597.0,2013,2,34,0,18.96969696969697,0.4675,0.4810810810810811,0.45581395348625203,0.8369565217345818,3.4545454545454546,3.6363636363636362,1.3636363636363635,0.06060606060606061
764,Omari Spellman,FR,2017-18,F,Villanova,Big East,40.0,1125.0,160,336,95,186,65,150,49,70,90.0,231.0,321,30,26,59,40.0,92.0,434,20.6,3.9,4.6,8.5,0.588,0.573,9.9,23.1,16.8,4.3,1.3,5.5,9.8,18.3,122.8,96.7,2.9,2.2,5.2,425.0,2018,1,30,0,10.85,0.47619047619047616,0.510752688172043,0.4333333333304445,0.69999999999,8.025,0.75,0.65,1.475
1193,Deshaun Thomas,FR,2010-11,F,Ohio State,Big Ten,37.0,518.0,105,219,84,155,21,64,47,59,62.0,69.0,131,17,14,6,30.0,41.0,278,26.0,5.3,0.8,6.1,0.563,0.527,15.1,16.5,15.8,6.8,1.7,1.3,10.8,28.4,118.4,94.3,2.0,1.0,3.0,262.0,2013,2,58,0,7.513513513513513,0.4794520547945205,0.5419354838709678,0.32812499999487305,0.7966101694780237,3.5405405405405403,0.4594594594594595,0.3783783783783784,0.16216216216216217
801,Quincy Pondexter,JR,2008-09,F,Washington,Pac-10,35.0,983.0,165,323,162,309,3,14,89,120,97.0,110.0,207,55,25,13,66.0,98.0,422,21.2,4.1,2.9,7.4,0.555,0.515,6.0,14.8,11.0,12.7,1.9,1.8,14.8,22.9,114.1,97.9,1.9,2.3,4.2,425.0,2010,1,26,0,12.057142857142857,0.5108359133126935,0.5242718446601942,0.21428571427040816,0.7416666666604861,5.914285714285715,1.5714285714285714,0.7142857142857143,0.37142857142857144
1327,Alexander Johnson,SO,2004-05,C,Florida State,ACC,30.0,525.0,76,167,73,158,3,9,50,87,45.0,83.0,128,16,23,16,69.0,84.0,205,21.2,4.1,2.9,7.4,0.4920000000000001,0.464,6.0,14.8,14.5,6.6,1.9,2.2,24.9,26.8,114.1,97.9,0.3,0.6,1.0,425.0,2006,2,45,0,6.833333333333333,0.4550898203592814,0.4620253164556962,0.3333333332962963,0.5747126436715551,4.266666666666667,0.5333333333333333,0.7666666666666667,0.5333333333333333
981,Lonnie Walker,FR,2017-18,G,Miami (FL),ACC,32.0,888.0,132,318,76,156,56,162,48,65,13.0,70.0,83,61,30,15,37.0,51.0,368,16.3,3.1,1.6,4.8,0.527,0.503,1.7,9.2,5.5,13.0,2.0,1.8,9.6,22.4,109.4,102.9,1.6,1.3,2.8,344.0,2018,1,18,0,11.5,0.41509433962264153,0.48717948717948717,0.3456790123435452,0.7384615384501775,2.59375,1.90625,0.9375,0.46875
1362,Demetrius Jackson,FR,2013-14,G,Notre Dame,ACC,30.0,666.0,55,131,30,71,25,60,46,59,15.0,49.0,64,55,12,1,37.0,58.0,181,11.2,1.5,-0.8,0.7,0.569,0.515,2.7,9.1,5.9,14.7,1.1,0.2,18.9,15.8,110.2,114.0,0.9,0.3,1.2,186.0,2016,2,45,0,6.033333333333333,0.4198473282442748,0.4225352112676056,0.41666666665972224,0.779661016935938,2.1333333333333333,1.8333333333333333,0.4,0.03333333333333333
105,Aaron Holiday,JR,2017-18,G,UCLA,Pac-12,33.0,1244.0,212,460,124,255,88,205,159,192,17.0,104.0,121,192,42,8,125.0,87.0,671,21.1,6.4,-0.1,6.2,0.609,0.557,1.6,8.7,5.3,29.9,1.9,0.7,18.5,26.7,115.4,108.1,3.7,1.2,4.9,686.0,2018,1,23,0,20.333333333333332,0.4608695652173913,0.48627450980392156,0.4292682926808329,0.8281249999956869,3.6666666666666665,5.818181818181818,1.2727272727272727,0.24242424242424243
1257,Ryan Kelly,SO,2010-11,F,Duke,ACC,37.0,743.0,95,184,73,115,22,69,33,41,42.0,96.0,138,31,25,51,30.0,77.0,245,19.0,4.2,6.6,10.8,0.602,0.5760000000000001,6.6,13.4,10.2,7.3,1.9,6.1,12.8,15.3,122.2,91.2,1.8,1.7,3.4,235.0,2013,2,48,0,6.621621621621622,0.5163043478260869,0.6347826086956522,0.31884057970552404,0.8048780487608567,3.72972972972973,0.8378378378378378,0.6756756756756757,1.3783783783783783
1328,Christian Drejer,SO,2003-04,G,Florida,SEC,20.0,589.0,74,158,52,102,22,56,33,44,16.0,79.0,95,79,20,6,50.0,54.0,203,21.2,4.1,2.9,7.4,0.5670000000000001,0.5379999999999999,6.0,14.8,9.4,25.0,1.9,0.7,21.8,19.7,114.1,97.9,1.1,0.6,1.7,425.0,2004,2,51,0,10.15,0.46835443037974683,0.5098039215686274,0.39285714285012757,0.7499999999829546,4.75,3.95,1.0,0.3
725,Brandon Rush,FR,2005-06,G,Kansas,Big 12,33.0,1047.0,170,359,120,253,50,106,54,71,48.0,147.0,195,65,29,23,83.0,39.0,444,21.2,4.1,2.9,7.4,0.565,0.5429999999999999,6.0,14.8,10.1,11.8,1.9,1.5,17.4,21.8,114.1,97.9,2.3,2.5,4.8,425.0,2008,1,13,0,13.454545454545455,0.4735376044568245,0.4743083003952569,0.4716981132030972,0.7605633802709779,5.909090909090909,1.9696969696969697,0.8787878787878788,0.696969696969697
1306,Darren Collison,FR,2005-06,G,UCLA,Pac-10,39.0,749.0,78,194,59,136,19,58,40,51,16.0,55.0,71,88,35,2,77.0,54.0,215,21.2,4.1,2.9,7.4,0.493,0.451,6.0,14.8,6.1,23.7,1.9,0.2,26.1,21.2,114.1,97.9,0.4,1.4,1.8,425.0,2009,1,21,0,5.512820512820513,0.4020618556701031,0.4338235294117647,0.32758620689090373,0.7843137254748175,1.8205128205128205,2.2564102564102564,0.8974358974358975,0.05128205128205128
1247,Thomas Robinson,SO,2010-11,F,Kansas,Big 12,33.0,482.0,101,168,101,168,0,0,49,96,74.0,138.0,212,20,14,22,43.0,67.0,251,27.5,2.9,4.6,7.4,0.588,0.601,19.1,30.7,25.3,8.0,1.7,4.9,16.8,26.1,112.7,85.8,1.4,1.3,2.8,245.0,2012,1,5,0,7.606060606060606,0.6011904761904762,0.6011904761904762,0.0,0.5104166666613498,6.424242424242424,0.6060606060606061,0.42424242424242425,0.6666666666666666
1442,Kyle Weaver,FR,2004-05,G,Washington State,Pac-10,25.0,489.0,46,119,44,97,2,22,27,49,26.0,53.0,79,50,15,9,47.0,41.0,121,21.2,4.1,2.9,7.4,0.425,0.395,6.0,14.8,10.0,24.8,1.9,1.5,24.8,22.0,114.1,97.9,-0.4,1.2,0.9,425.0,2008,2,38,0,4.84,0.3865546218487395,0.4536082474226804,0.09090909090495868,0.55102040815202,3.16,2.0,0.6,0.36
615,Landry Shamet,SO,2017-18,G,Wichita State,AAC,32.0,1015.0,154,315,70,125,84,190,85,103,14.0,89.0,103,166,23,6,67.0,61.0,477,21.4,8.3,-0.1,8.2,0.655,0.622,1.6,9.7,5.8,28.8,1.3,0.7,15.5,20.7,130.1,106.2,3.8,1.1,4.9,476.0,2018,1,26,0,14.90625,0.4888888888888889,0.56,0.4421052631555679,0.8252427184385899,3.21875,5.1875,0.71875,0.1875
1134,Bruno Fernando,FR,2017-18,F,Maryland,Big Ten,30.0,671.0,118,204,117,201,1,3,71,96,45.0,151.0,196,21,11,37,53.0,87.0,308,21.9,0.5,4.0,4.6,0.617,0.581,8.9,24.5,17.5,6.9,1.0,6.0,17.5,23.7,112.2,95.4,1.5,1.4,2.9,282.0,2019,2,34,0,10.266666666666667,0.5784313725490197,0.582089552238806,0.3333333332222222,0.7395833333256293,6.533333333333333,0.7,0.36666666666666664,1.2333333333333334
624,Mo Williams,SO,2002-03,G,Alabama,SEC,29.0,1038.0,160,371,103,191,57,180,98,117,29.0,84.0,113,112,36,5,86.0,61.0,475,21.2,4.1,2.9,7.4,0.557,0.508,6.0,14.8,6.2,24.4,1.9,0.4,16.8,24.8,114.1,97.9,2.4,1.8,4.1,425.0,2003,2,47,0,16.379310344827587,0.431266846361186,0.5392670157068062,0.31666666666490745,0.8376068375996786,3.896551724137931,3.8620689655172415,1.2413793103448276,0.1724137931034483
75,Charles Jenkins,JR,2009-10,G,Hofstra,CAA,34.0,1234.0,235,531,172,377,63,154,169,210,38.0,116.0,154,134,61,19,108.0,89.0,702,23.6,4.1,2.9,7.4,0.556,0.502,3.1,10.1,6.5,25.0,2.9,1.6,14.6,28.5,112.4,99.7,3.8,1.8,5.6,659.0,2011,2,44,0,20.647058823529413,0.4425612052730697,0.4562334217506631,0.4090909090882527,0.8047619047580726,4.529411764705882,3.9411764705882355,1.7941176470588236,0.5588235294117647
510,Greg Oden,FR,2006-07,C,Ohio State,Big Ten,32.0,925.0,189,307,189,307,0,0,123,196,113.0,193.0,306,21,18,105,64.0,87.0,501,21.2,4.1,2.9,7.4,0.626,0.616,6.0,14.8,11.0,12.7,1.9,1.8,13.8,22.9,114.1,97.9,3.6,4.6,8.2,425.0,2007,1,1,0,15.65625,0.6156351791530945,0.6156351791530945,0.0,0.6275510204049615,9.5625,0.65625,0.5625,3.28125
336,Georges Niang,SO,2013-14,F,Iowa State,Big 12,34.0,1025.0,222,468,174,321,48,147,75,104,34.0,118.0,152,123,21,21,82.0,109.0,567,19.3,4.0,1.7,5.7,0.5479999999999999,0.526,3.7,11.9,8.0,23.6,1.1,2.0,13.7,28.5,107.6,105.2,2.1,1.3,3.3,541.0,2016,2,50,0,16.676470588235293,0.47435897435897434,0.5420560747663551,0.3265306122426767,0.7211538461469119,4.470588235294118,3.6176470588235294,0.6176470588235294,0.6176470588235294
1375,Grant Jerrett,FR,2012-13,F,Arizona,Pac-12,34.0,606.0,63,154,31,75,32,79,18,22,37.0,85.0,122,18,16,33,19.0,44.0,176,16.6,2.7,4.7,7.4,0.535,0.513,7.6,17.9,12.7,5.7,1.6,5.8,10.4,15.6,115.8,95.1,1.2,1.1,2.3,170.0,2013,2,40,0,5.176470588235294,0.4090909090909091,0.41333333333333333,0.4050632911341131,0.8181818181446281,3.588235294117647,0.5294117647058824,0.47058823529411764,0.9705882352941176
813,Lance Stephenson,FR,2009-10,F,Cincinnati,Big East,34.0,960.0,162,368,146,295,16,73,79,119,63.0,119.0,182,84,31,6,81.0,66.0,419,17.9,4.1,2.9,7.4,0.493,0.462,7.3,14.0,10.6,19.1,1.9,0.7,16.0,26.2,101.4,100.3,1.4,1.3,2.8,413.0,2010,2,40,0,12.323529411764707,0.44021739130434784,0.49491525423728816,0.21917808218877838,0.6638655462129087,5.352941176470588,2.4705882352941178,0.9117647058823529,0.17647058823529413
993,Dewan Hernandez,SO,2017-18,F,Miami (FL),ACC,32.0,825.0,147,255,147,252,0,3,71,103,65.0,148.0,213,14,16,31,44.0,60.0,365,22.1,1.1,2.4,3.5,0.6,0.5760000000000001,9.3,20.8,15.1,3.4,1.1,4.1,12.6,21.7,116.5,98.9,2.0,1.5,3.5,339.0,2019,2,59,0,11.40625,0.5764705882352941,0.5833333333333334,0.0,0.689320388342822,6.65625,0.4375,0.5,0.96875
64,Pierre Jackson,SR,2012-13,G,Baylor,Big 12,36.0,1252.0,216,506,128,261,88,245,192,240,24.0,111.0,135,255,54,0,122.0,80.0,712,26.0,9.8,0.8,10.6,0.574,0.514,2.2,10.3,6.2,40.7,2.5,0.0,16.4,29.5,117.5,100.1,5.3,1.6,7.0,749.0,2013,2,42,0,19.77777777777778,0.4268774703557312,0.4904214559386973,0.35918367346792174,0.7999999999966667,3.75,7.083333333333333,1.5,0.0
